gid	n_B73	n_Mo17	n_ambiguous
Zm00001d002146	39	5	0
Zm00001d002147	54	20	1
Zm00001d002148	422	400	3
Zm00001d002149	65	36	1
Zm00001d002150	16	5	0
Zm00001d002153	23	42	0
Zm00001d002154	0	1	0
Zm00001d002155	140	191	0
Zm00001d002156	71	36	0
Zm00001d002157	7	0	0
Zm00001d002158	4	1	0
Zm00001d002159	77	15	2
Zm00001d002160	8	0	0
Zm00001d002163	137	122	2
Zm00001d002164	23	0	0
Zm00001d002166	84	156	0
Zm00001d002167	10	9	0
Zm00001d002168	24	25	0
Zm00001d002169	122	119	1
Zm00001d002174	148	64	1
Zm00001d002175	222	198	4
Zm00001d002178	1	4	1
Zm00001d002179	1	2	0
Zm00001d002181	127	49	2
Zm00001d002182	26	1	1
Zm00001d002184	33	33	0
Zm00001d002185	4	1	0
Zm00001d002186	0	8	0
Zm00001d002187	0	61	1
Zm00001d002190	84	42	0
Zm00001d002191	79	15	2
Zm00001d002198	2	11	0
Zm00001d002199	0	10	0
Zm00001d002200	13	20	0
Zm00001d002216	2	1	0
Zm00001d002231	0	3	0
Zm00001d002232	2	1	0
Zm00001d002234	136	94	1
Zm00001d002239	1	0	0
Zm00001d002241	3	6	0
Zm00001d002243	2	1	0
Zm00001d002244	59	66	0
Zm00001d002250	25	32	0
Zm00001d002252	7	9	0
Zm00001d002253	39	52	0
Zm00001d002256	2540	2262	48
Zm00001d002257	573	616	11
Zm00001d002258	3625	1324	20
Zm00001d002259	131	129	0
Zm00001d002260	0	4	0
Zm00001d002261	51	51	0
Zm00001d002263	1	0	0
Zm00001d002266	101	151	3
Zm00001d002267	166	188	5
Zm00001d002271	1193	1107	25
Zm00001d002272	1350	1234	27
Zm00001d002275	2113	954	21
Zm00001d002277	10	20	1
Zm00001d002279	0	54	5
Zm00001d002282	4	4	1
Zm00001d002283	28	44	2
Zm00001d002284	0	1	0
Zm00001d002285	0	1	0
Zm00001d002287	6	5	0
Zm00001d002288	245	42	3
Zm00001d002290	2	0	0
Zm00001d002292	129	106	1
Zm00001d002296	27	29	0
Zm00001d002301	100	133	3
Zm00001d002302	13	79	0
Zm00001d002307	58	0	0
Zm00001d002312	70	0	0
Zm00001d002313	259	220	8
Zm00001d002314	39	25	1
Zm00001d002315	123	62	3
Zm00001d002316	28	34	0
Zm00001d002317	158	492	11
Zm00001d002319	0	1	0
Zm00001d002323	356	126	1
Zm00001d002324	6100	6551	127
Zm00001d002325	34478	36552	685
Zm00001d002326	2017	2381	54
Zm00001d002330	7	6	0
Zm00001d002332	234	67	0
Zm00001d002333	320	506	13
Zm00001d002334	413	507	11
Zm00001d002338	24	76	0
Zm00001d002339	201	136	3
Zm00001d002340	60	33	0
Zm00001d002341	93	99	0
Zm00001d002342	4	1	0
Zm00001d002343	2	2	0
Zm00001d002344	126	85	3
Zm00001d002345	10	13	0
Zm00001d002346	2	1	0
Zm00001d002347	354	100	3
Zm00001d002349	25	32	0
Zm00001d002350	588	2013	81
Zm00001d002351	2251	10100	337
Zm00001d002352	25	29	0
Zm00001d002353	267	169	3
Zm00001d002357	3	2	0
Zm00001d002358	97	121	1
Zm00001d002359	34	30	0
Zm00001d002362	48	40	0
Zm00001d002364	40	5	0
Zm00001d002365	1	0	0
Zm00001d002366	101	113	2
Zm00001d002369	23	32	0
Zm00001d002371	37	26	0
Zm00001d002372	1	0	0
Zm00001d002373	108	99	0
Zm00001d002377	0	3	0
Zm00001d002380	10	0	0
Zm00001d002382	58	67	1
Zm00001d002383	1	1	0
Zm00001d002384	2469	2688	35
Zm00001d002385	26	63	1
Zm00001d002386	24	27	0
Zm00001d002387	48	61	0
Zm00001d002388	220	261	4
Zm00001d002389	0	1	0
Zm00001d002390	368	329	4
Zm00001d002391	1	3	0
Zm00001d002394	0	1	0
Zm00001d002395	12	7	1
Zm00001d002396	29	65	2
Zm00001d002402	29	9	0
Zm00001d002405	252	290	12
Zm00001d002406	52	45	0
Zm00001d002408	6	40	1
Zm00001d002410	3	125	6
Zm00001d002411	0	1	0
Zm00001d002415	22	53	0
Zm00001d002416	4138	3160	55
Zm00001d002418	314	388	4
Zm00001d002419	36	18	2
Zm00001d002420	2	0	0
Zm00001d002421	5	1	0
Zm00001d002422	0	2	0
Zm00001d002423	122	125	3
Zm00001d002424	12	5	0
Zm00001d002425	25	30	1
Zm00001d002426	4852	3351	64
Zm00001d002428	880	827	16
Zm00001d002429	33	22	3
Zm00001d002433	0	1	0
Zm00001d002436	5	6	0
Zm00001d002439	43	14	0
Zm00001d002440	322	275	11
Zm00001d002441	2	2	0
Zm00001d002444	44	22	0
Zm00001d002446	99	24	0
Zm00001d002447	20	12	0
Zm00001d002450	64	41	1
Zm00001d002451	60	35	0
Zm00001d002458	4	33	23
Zm00001d002462	29	26	0
Zm00001d002463	4	2	0
Zm00001d002474	0	1	0
Zm00001d002475	52	24	0
Zm00001d002476	10	4	0
Zm00001d002477	0	1	0
Zm00001d002478	98	88	7
Zm00001d002479	1	0	0
Zm00001d002481	7	9	0
Zm00001d002483	3	2	0
Zm00001d002485	6	5	0
Zm00001d002488	0	1	0
Zm00001d002489	239	159	2
Zm00001d002496	2	2	0
Zm00001d002499	143	172	6
Zm00001d002500	31	22	1
Zm00001d002501	321	294	5
Zm00001d002503	713	562	6
Zm00001d002504	129	90	3
Zm00001d002511	370	296	10
Zm00001d002512	21	38	1
Zm00001d002514	84	234	4
Zm00001d002520	68	22	0
Zm00001d002530	1	3	1
Zm00001d002535	11	12	1
Zm00001d002544	5	1	0
Zm00001d002545	1	1	0
Zm00001d002546	3	4	0
Zm00001d002548	13	10	0
Zm00001d002550	2736	1604	27
Zm00001d002553	3	0	0
Zm00001d002558	0	4	0
Zm00001d002564	0	1	0
Zm00001d002565	136	154	7
Zm00001d002572	1	36	1
Zm00001d002573	73	66	0
Zm00001d002576	13	6	0
Zm00001d002580	131	160	1
Zm00001d002584	2	1	0
Zm00001d002585	104	128	1
Zm00001d002589	1011	1081	16
Zm00001d002590	0	1	0
Zm00001d002591	1587	818	21
Zm00001d002592	9	8	1
Zm00001d002593	10	136	4
Zm00001d002594	2	8	0
Zm00001d002595	19	228	1
Zm00001d002596	5	11	0
Zm00001d002597	69	292	3
Zm00001d002598	345	341	10
Zm00001d002600	10	14	0
Zm00001d002602	55	41	0
Zm00001d002603	323	219	2
Zm00001d002610	31	1217	18
Zm00001d002611	107	99	1
Zm00001d002614	3	3	0
Zm00001d002615	94	142	2
Zm00001d002616	30	14	0
Zm00001d002617	8	10	0
Zm00001d002621	6	1	0
Zm00001d002624	5	6	0
Zm00001d002625	15	20	0
Zm00001d002626	75	20	0
Zm00001d002629	0	2	0
Zm00001d002630	0	7	0
Zm00001d002641	238	235	6
Zm00001d002642	29	22	1
Zm00001d002644	40	22	0
Zm00001d002647	0	6	1
Zm00001d002650	2239	2067	32
Zm00001d002654	439	558	4
Zm00001d002656	0	2	0
Zm00001d002658	35	7	0
Zm00001d002659	671	639	9
Zm00001d002661	7	2	0
Zm00001d002663	56	69	1
Zm00001d002664	5	4	1
Zm00001d002668	15	49	1
Zm00001d002673	1	3	0
Zm00001d002676	33	23	1
Zm00001d002677	10	14	0
Zm00001d002678	406	11	5
Zm00001d002679	23	20	0
Zm00001d002684	24	17	2
